Sport,Event,Medal,Athlete,Country,Year,City,Season
SAILING,MEN’S KITE,Gold,Valentin Bontus,Austria,2024,Paris,Summer
SOCCER,MEN,Gold,Spain,Spain,2024,Paris,Summer
SPORT CLIMBING,MEN’S BOULDER & LEAD,Gold,Toby Roberts,Great Britain,2024,Paris,Summer
TABLE TENNIS,MEN’S TEAM,Gold,China,China,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Gold,Viviana Marton,Hungary,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Gold,Firas Katoussi,Tunisia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 71KG,Gold,Olivia Reeves,United States,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 89KG,Gold,Karlos Nasar,Bulgaria,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 57KG,Gold,Tsugumi Sakurai,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Gold,Higuchi Rei,Japan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Gold,Magomed Eldarovitch Ramazanov,Bulgaria,2024,Paris,Summer
TRACK AND FIELD,MEN’S 200M,Gold,Letsile Tebogo,Botswana,2024,Paris,Summer
TRACK AND FIELD,MEN’S 110M HURDLES,Gold,GRANT HOLLOWAY,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S JAVELIN THROW,Gold,Arshad Nadeem,Pakistan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 400M HURDLES,Gold,Sydney McLaughlin-Levrone,United States,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S LONG JUMP,Gold,Tara Davis-Woodhall,United States,2024,Paris,Summer
CYCLING,MEN’S OMNIUM,Gold,Benjamin Thomas,France,2024,Paris,Summer
CYCLING,WOMEN’S KEIRIN,Gold,Ellesse Andrews,New Zealand,2024,Paris,Summer
CANOE SLALOM,MEN’S CANOE DOUBLE 500M,Gold,Liu Hao and Ji Bowen,China,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK FOUR 500M,Gold,New Zealand,New Zealand,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK FOUR 500M,Gold,Germany,Germany,2024,Paris,Summer
FIELD HOCKEY,MEN’S,Gold,Netherlands,Netherlands,2024,Paris,Summer
MARATHON SWIMMING,WOMEN’S 10KM,Gold,Sharon van Rouwendaal,Netherlands,2024,Paris,Summer
SPORTS CLIMBING,MEN’S SPEED,Gold,Veddriq Leonardo,Indonesia,2024,Paris,Summer
DIVING,MEN’S 3M SPRINGBOARD,Gold,Xie Siyi,China,2024,Paris,Summer
SAILING,MIXED DINGHY,Gold,Lara Vadlau and Lukas Maehr,Austria,2024,Paris,Summer
SAILING,MIXED MULTIHULL,Gold,Ruggero Tita and Caterina Marianna Banti,Italy,2024,Paris,Summer
SAILING,WOMEN’S KITE,Gold,Eleanor Aldridge,Great Britain,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 59KG,Gold,Luo Shifang,China,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 67KG,Gold,Saeid Esmaeili Leivesi,Iran,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 87KG,Gold,Semen Sergeevich Novikov,Bulgaria,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 53KG,Gold,Akari Fujinami,Japan,2024,Paris,Summer
ARTISTIC SWIMMING,TEAM,Gold,China,China,2024,Paris,Summer
BOXING,MEN’S 63.5KG,Gold,Erislandy Alvarez Borges,Cuba,2024,Paris,Summer
BOXING,MEN’S 80KG,Gold,Oleksandr Khyzhniak,Ukraine,2024,Paris,Summer
CLIMBING,WOMEN’S SPEED,Gold,Aleksandra Miroslaw,Poland,2024,Paris,Summer
CYCLING,CYCLING MEN’S TEAM PURSUIT,Gold,"Oliver Bleddyn, Conor Leahy, Kelland O’Brien, Sam Welsford)",Australia,2024,Paris,Summer
CYCLING,CYCLING WOMEN’S TEAM PURSUIT,Gold,"Chloé Dygert, Kristen Faulkner, Jennifer Valente, Lily Williams)",United States,2024,Paris,Summer
SAILING,MEN’S DINGHY,Gold,Matt Wearn,Australia,2024,Paris,Summer
SAILING,WOMEN’S DINGHY,Gold,Marit Bouwmeester,Netherlands,2024,Paris,Summer
SKATEBOARDING,MEN’S PARK,Gold,Keegan Palmer,Australia,2024,Paris,Summer
TAEKWONDO,MEN 58KG,Gold,Park Tae-joon,South Korea,2024,Paris,Summer
TAEKWONDO,WOMEN’S 49KG,Gold,Panipak Wongpattanakit,Thailand,2024,Paris,Summer
TRACK AND FIELD,MEN’S 400M,Gold,Quincy Hall,United States,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 3,000M STEEPLECHASE",Gold,Soufiane El Bakkali,Morocco,2024,Paris,Summer
TRACK AND FIELD,MEN’S DISCUS THROW,Gold,Roje Stona,Jamaica,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S POLE VAULT,Gold,Nina Kennedy,Australia,2024,Paris,Summer
TRACK AND FIELD,MARATHON RACE WALK MIXED RELAY,Gold,Spain,Spain,2024,Paris,Summer
WEIGHTLIFTING,MEN’S 61KG,Gold,Li Fabin,China,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S 49KG,Gold,Hou Zhihui,China,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 77KG,Gold,Nao Kusaka,Japan,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 97KG,Gold,Mohammadhadi Saravi,Iran,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 50KG,Gold,Sarah Ann Hildebrandt,United States,2024,Paris,Summer
BOXING,WOMEN’S 60KG,Gold,Kellie Harrington,Ireland,2024,Paris,Summer
CYCLING TRACK,MEN’S TEAM SPRINT,Gold,Netherlands,Netherlands,2024,Paris,Summer
DIVING,WOMEN’S 10M PLATFORM,Gold,Quan Hongchan,China,2024,Paris,Summer
EQUESTRIAN,INDIVIDUAL JUMPING,Gold,Christian Kukuk,Germany,2024,Paris,Summer
SKATEBOARDING,WOMEN’S PARK,Gold,Arisa Trew,Australia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 200M,Gold,Gabrielle Thomas,United States,2024,Paris,Summer
TRACK AND FIELD,"WOMEN’S 3,000M STEEPLECHASE",Gold,Winfred Yavi,Bahrain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HAMMER THROW,Gold,Camryn Rogers,Canada,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 1,500M",Gold,Cole Hocker,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S LONG JUMP,Gold,Miltiadis Tentoglou,Greece,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 130KG,Gold,Mijain Lopez Nunez,Cuba,2024,Paris,Summer
WRESTLING,MEN’S GRECO-ROMAN 60KG,Gold,Kenichiro Fumita,Japan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 68KG,Gold,Amit Elor,United States,2024,Paris,Summer
3X3 BASKETBALL,MEN’S 3X3 BASKETBALL,Gold,Netherlands,Netherlands,2024,Paris,Summer
3X3 BASKETBALL,WOMEN’S 3X3 BASKETBALL,Gold,Germany,Germany,2024,Paris,Summer
BADMINTON,MEN’S SINGLES,Gold,Viktor Axelsen,Denmark,2024,Paris,Summer
BADMINTON,WOMEN’S SINGLES,Gold,An Se-young,South Korea,2024,Paris,Summer
CANOE SLALOM,MEN’S KAYAK CROSS,Gold,Finn Butcher,New Zealand,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK CROSS,Gold,Noemie Fox,Australia,2024,Paris,Summer
CYCLING TRACK,WOMEN’S TEAM SPRINT,Gold,Britain,Britain,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Gold,Shinnosuke Oka,Japan,2024,Paris,Summer
GYMNASTICS,MEN’S PARALLEL BARS,Gold,Zou Jingyuan,China,2024,Paris,Summer
GYMNASTICS,WOMEN’S BALANCE BEAM,Gold,Alice D’Amato,Italy,2024,Paris,Summer
GYMNASTICS,WOMEN’S FLOOR EXERCISE,Gold,Rebeca Andrade,Brazil,2024,Paris,Summer
SHOOTING,MEN’S 25M RAPID FIRE PISTOL,Gold,Li Yuehong,China,2024,Paris,Summer
SHOOTING,MIXED TEAM SKEET,Gold,Diana Bacosi and Gabriele Rossetti,Italy,2024,Paris,Summer
SURFING,MEN,Gold,Kauli Vaast,France,2024,Paris,Summer
SURFING,WOMEN,Gold,Caroline Marks,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S POLE VAULT,Gold,Armand Duplantis,Sweden,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 800M,Gold,Keely Hodgkinson,Great Britain,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 5000M,Gold,Beatrice Chebet,Kenya,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S DISCUS THROW,Gold,Valerie Allman,United States,2024,Paris,Summer
TRIATHLON,MIXED RELAY,Gold,Germany,Germany,2024,Paris,Summer
ARCHERY,MEN’S INDIVIDUAL,Gold,Kim Woo-jin,South Korea,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S RINGS,Gold,Liu Yang,China,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S VAULT,Gold,Carlos Edriel Yulo,Philippines,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S UNEVEN BARS,Gold,Kaylia Nemour,Algeria,2024,Paris,Summer
BADMINTON,MEN’S DOUBLES,Gold,Lee Yang and Wang Chi-lin,Taiwan,2024,Paris,Summer
CYCLING,WOMEN’S ROAD RACE,Gold,Kristen Faulkner,United States,2024,Paris,Summer
EQUESTRIAN,DRESSAGE INDIVIDUAL,Gold,Jessica von Bredow-Werndl,Germany,2024,Paris,Summer
FENCING,MEN’S FOIL TEAM,Gold,Japan,Japan,2024,Paris,Summer
GOLF,MEN’S INDIVIDUAL,Gold,Scottie Scheffler,United States,2024,Paris,Summer
SHOOTING,WOMEN’S SKEET,Gold,Francisca Crovetto,Chile,2024,Paris,Summer
SWIMMING,WOMEN’S 50M FREESTYLE,Gold,Sarah Sjöström,Sweden,2024,Paris,Summer
SWIMMING,WOMEN’S 4x100M MEDLEY RELAY,Gold,United States,United States,2024,Paris,Summer
SWIMMING,MEN’S 1500M FREESTYLE,Gold,Bobby Finke,United States,2024,Paris,Summer
SWIMMING,MEN’S 4x100M MEDLEY RELAY,Gold,China,China,2024,Paris,Summer
TABLE TENNIS,MEN’S SINGLES,Gold,Fan Zhendong,China,2024,Paris,Summer
TENNIS,MEN’S SINGLES,Gold,Nova Djokovic,Serbia,2024,Paris,Summer
TENNIS,WOMEN’S DOUBLES,Gold,Sara Errani and Jasmine Paolini,Italy,2024,Paris,Summer
TRACK AND FIELD,MEN’S 100M,Gold,Noah Lyles,United States,2024,Paris,Summer
TRACK AND FIELD,MEN’S HAMMER THROW,Gold,Ethan Katzberg,Canada,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Gold,Yaroslava Mahuchikh,Ukraine,2024,Paris,Summer
ARCHERY,WOMEN’S INDIVIDUAL,Gold,Lim Si-hyeon,South Korea,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S FLOOR EXERCISE,Gold,Carlos Edriel Yulo,Philippines,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S POMMEL HORSE,Gold,Rhys McClenaghan,Ireland,2024,Paris,Summer
ARTISTIC GYMNASTICS,WOMEN’S VAULT,Gold,Simone Biles,United States,2024,Paris,Summer
BADMINTON,WOMEN’S DOUBLES,Gold,Chen Qingchen and Jia Yifan,China,2024,Paris,Summer
CYCLING,MEN’S ROAD RACE,Gold,Remco Evenepoel,Belgium,2024,Paris,Summer
EQUESTRIAN,DRESSAGE TEAM,Gold,Germany,Germany,2024,Paris,Summer
FENCING,WOMEN’S TEAM SABER,Gold,Ukraine,Ukraine,2024,Paris,Summer
JUDO,MIXED TEAM,Gold,France,France,2024,Paris,Summer
ROWING,MEN’S EIGHT,Gold,Britain,Britain,2024,Paris,Summer
ROWING,WOMEN’S EIGHT,Gold,Romania,Romania,2024,Paris,Summer
ROWING,MEN’S SINGLE SCULLS,Gold,Oliver Zeidler,Germany,2024,Paris,Summer
ROWING,WOMEN’S SINGLE SCULLS,Gold,Karolien Florijn,Netherlands,2024,Paris,Summer
SAILING,MEN’S WINDSURFING,Gold,Tom Reuveny,Israel,2024,Paris,Summer
SAILING,WOMEN’S WINDSURFING,Gold,Marta Maggetti,Italy,2024,Paris,Summer
SHOOTING,WOMEN’S 25M PISTOL,Gold,Yang Ji-in,South Korea,2024,Paris,Summer
SHOOTING,MEN’S SKEET,Gold,Vincent Hancock,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BUTTERFLY,Gold,Kristof Milak,Hungary,2024,Paris,Summer
SWIMMING,MIXED 4X100 MEDLEY RELAY,Gold,United States,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 200M INDIVIDUAL MEDLEY,Gold,Summer McIntosh,Canada,2024,Paris,Summer
SWIMMING,WOMEN’S 800M FREESTYLE,Gold,Katie Ledecky,United States,2024,Paris,Summer
TABLE TENNIS,WOMEN’S SINGLES,Gold,Chen Meng,China,2024,Paris,Summer
TENNIS,MEN’S DOUBLES,Gold,Matthew Ebden and John Peers,Australia,2024,Paris,Summer
TENNIS,WOMEN’S SINGLES,Gold,Zheng Qinwen,China,2024,Paris,Summer
TRACK AND FIELD,MEN’S SHOTPUT,Gold,Ryan Crouser,United States,2024,Paris,Summer
TRACK AND FIELD,MIXED 4X400M RELAY,Gold,Netherlands,Netherlands,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 100M,Gold,Julien Alfred,St. Lucia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S TRIPLE JUMP,Gold,Thea LaFond,Dominica,2024,Paris,Summer
ARCHERY,MIXED TEAM,Gold,Kim Woo-jin and Lim Si-hyeon,South Korea,2024,Paris,Summer
BADMINTON,MIXED DOUBLES,Gold,Zheng Siwei and Huang Ya Qiong,China,2024,Paris,Summer
DIVING,MEN’S SYNCHRONIZED 3M SPRINGBOARD,Gold,Long Daoyi and Wang Zongyuan,China,2024,Paris,Summer
CYCLING BMX RACING,MEN’S,Gold,Joris Daudet,France,2024,Paris,Summer
CYCLING BMX RACING,WOMEN’S,Gold,Saya Sakakibara,Australia,2024,Paris,Summer
EQUESTRIAN,TEAM JUMPING,Gold,Britain,Britain,2024,Paris,Summer
FENCING,MEN’S TEAM ÉPÉE,Gold,Hungary,Hungary,2024,Paris,Summer
JUDO,MEN’S +100KG,Gold,Teddy Riner,France,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Gold,Beatriz Souza,Brazil,2024,Paris,Summer
ROWING,MEN’S PAIR,Gold,Martin Sinkovic and Valent Sinkovic,Croatia,2024,Paris,Summer
ROWING,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Gold,Fintan McCarthy and Paul O’Donovan,Ireland,2024,Paris,Summer
ROWING,WOMEN’S PAIR,Gold,Ymkje Clevering and Veronique Meester,Netherlands,2024,Paris,Summer
ROWING,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Gold,Emily Craig and Imogen Grant,Great Britain,2024,Paris,Summer
SAILING,MEN’S SKIFF,Gold,Diego Botín and Florián Trittel,Spain,2024,Paris,Summer
SAILING,WOMEN’S SKIFF,Gold,Annette Duetz and Odile van Aanholt,Netherlands,2024,Paris,Summer
SHOOTING,WOMEN’S 50M RIFLE 3 POSITIONS,Gold,Chiara Leone,Switzerland,2024,Paris,Summer
SWIMMING,MEN’S 200M INDIVIDUAL MEDLEY,Gold,Léon Marchand,France,2024,Paris,Summer
SWIMMING,MEN’S 50M FREESTYLE,Gold,Cameron McEvoy,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 200 BACKSTROKE,Gold,Kaylee McKeown,Australia,2024,Paris,Summer
TENNIS,MIXED DOUBLES,Gold,Katerina Siniakova and Tomas Machac,Czech Republic,2024,Paris,Summer
TRACK AND FIELD,"MEN’S 10,000M",Gold,Joshua Cheptegei,Uganda,2024,Paris,Summer
TRAMPOLINE,MEN’S ,Gold,Ivan Litvinovich,Belarus,2024,Paris,Summer
TRAMPOLINE,WOMEN’S,Gold,Bryony Page,Great Britain,2024,Paris,Summer
CANOE SLALOM,MEN’S SINGLE KAYAK,Gold,Giovanni De Gennaro,Italy,2024,Paris,Summer
FENCING,WOMEN’S TEAM FOIL,Gold,United States,United States,2024,Paris,Summer
GYMNASTICS,WOMEN’S ALL-AROUND,Gold,Simone Biles,United States,2024,Paris,Summer
JUDO,MEN’S -100KG,Gold,Zelym Kotsoiev,Azerbaijan,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Gold,Alice Bellandi,Italy,2024,Paris,Summer
ROWING,MEN’S DOUBLE SCULLS,Gold,Andrei-Sebastian Cornea and Marian Enache,Romania,2024,Paris,Summer
ROWING,WOMEN’S DOUBLE SCULLS,Gold,Brooke Francis and Lucy Spoors,Australia,2024,Paris,Summer
ROWING,MEN’S FOUR,Gold,United States,United States,2024,Paris,Summer
ROWING,WOMEN’S FOUR,Gold,Netherlands,Netherlands,2024,Paris,Summer
SHOOTING,MEN’S 50M RIFLE 3 POSITIONS,Gold,Liu Yukun,China,2024,Paris,Summer
SWIMMING,MEN’S 200M BACKSTROKE,Gold,Hubert Kos,Hungary,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BUTTERFLY,Gold,Summer McIntosh,Canada,2024,Paris,Summer
SWIMMING,WOMEN’S 200M BREASTSTROKE,Gold,Kate Douglass,United States,2024,Paris,Summer
SWIMMING,WOMENS 4X200 FREESTYLE RELAY,Gold,Australia,Australia,2024,Paris,Summer
TRACK AND FIELD,MEN’S 20KM RACE WALK,Gold,Brian Pintado,Ecuador,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S 20KM RACE WALK,Gold,Yang Jiayu,China,2024,Paris,Summer
GYMNASTICS,MEN’S ALL AROUND,Gold,Shinnosuke Oka,Japan,2024,Paris,Summer
CANOE,WOMEN’S SINGLE,Gold,Jessica Fox,Australia,2024,Paris,Summer
CYCLING,WOMEN’S PARK,Gold,Deng Yawen,China,2024,Paris,Summer
CYCLING,MEN’S PARK,Gold,Jose Torres Gil,Argentina,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 10-METER PLATFORM,Gold,Chen Yuxi and Quan Hongchan,China,2024,Paris,Summer
FENCING,MEN’S SABRE TEAM,Gold,South Korea,South Korea,2024,Paris,Summer
JUDO,WOMEN’S 70KG,Gold,Barbara Matic,Croatia,2024,Paris,Summer
JUDO,MEN’S 90KG,Gold,Lasha Bekauri,Georgia,2024,Paris,Summer
ROWING,MEN’S QUADRUPLE SCULLS,Gold,"Lennart van Lierop, Finn Florijn, Tone Wieten, Koen Metsemakers)",Netherlands,2024,Paris,Summer
ROWING,WOMEN’S QUADRUPLE SCULLS,Gold,"Lauren Henry, Hannah Scott, Lola Anderson, Georgina Brayshaw)",Great Britain,2024,Paris,Summer
SWIMMING,WOMEN’S 100M FREESTYLE,Gold,Sarah Sjoestroem,Sweden,2024,Paris,Summer
SWIMMING,"WOMEN’S 1,500M FREESTYLE",Gold,Katie Ledecky,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M FREESTYLE,Gold,Pan Zhanle,China,2024,Paris,Summer
SWIMMING,MEN’S 200M BREASTSTROKE,Gold,Léon Marchand,France,2024,Paris,Summer
SWIMMING,MEN’S 200M BUTTERFLY,Gold,Léon Marchand,France,2024,Paris,Summer
SHOOTING,WOMEN’S TRAP,Gold,Adriana Ruano,Guatemala,2024,Paris,Summer
TRIATHLON,WOMEN,Gold,Cassandre Beaugrand,France,2024,Paris,Summer
TRIATHLON,MEN,Gold,Alex Yee,Great Britain,2024,Paris,Summer
FENCING,WOMEN’S EPEE TEAM,Gold,Italy,Italy,2024,Paris,Summer
GYMNASTICS,WOMEN’S TEAM,Gold,United States,United States,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Gold,Andreja Leški,Slovenia,2024,Paris,Summer
JUDO,MEN’S 81KG,Gold,Takanori Nagase,Japan,2024,Paris,Summer
RUGBY SEVENS,WOMEN’S,Gold,New Zealand,New Zealand,2024,Paris,Summer
SHOOTING,MIXED TEAM 10M AIR PISTOL,Gold,Zorana Arunovic and Damir Mikec,Serbia,2024,Paris,Summer
SHOOTING,MEN’S TRAP,Gold,Nathan Hales,Great Britain,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BACKSTROKE,Gold,Kaylee McKeown,Australia,2024,Paris,Summer
SWIMMING,MEN’S 800M FREESTYLE,Gold,Daniel Wiffen,Ireland,2024,Paris,Summer
SWIMMING,MEN’S 4X200M FREESTYLE RELAY,Gold,Britain,Britain,2024,Paris,Summer
TABLE TENNIS,MEN’S 4x200M FREESTYLE RELAY,Gold,Wang Chuqin and Sun Yingsha,China,2024,Paris,Summer
ARCHERY,MIXED DOUBLES,Gold,South Korea,South Korea,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S TEAM,Gold,Japan,Japan,2024,Paris,Summer
CANOE SLALOM,MEN’S TEAM,Gold,Nicolas Gestin,France,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,MEN’S CANOE SINGLE,Gold,Tom Pidcock,Great Britain,2024,Paris,Summer
DIVING,MEN’S CROSS-COUNTRY,Gold,Lian Junjie and Yang Hao,China,2024,Paris,Summer
EQUESTRIAN,MEN’S SYNCHRONIZED 10M PLATFORM,Gold,Britain,Britain,2024,Paris,Summer
FENCING,EVENTING TEAM,Gold,Manon Apithy-Brunet,France,2024,Paris,Summer
FENCING,MEN’S FOIL INDIVIDUAL,Gold,Cheung Ka Long,Hong Kong,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Gold,Christa Deguchi,Canada,2024,Paris,Summer
JUDO,MEN’S 73KG,Gold,Hidayat Heydarov,Azerbaijan,2024,Paris,Summer
SHOOTING,WOMEN’S 57KG,Gold,Ban Hyo-jin,South Korea,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR RIFLE,Gold,Sheng Lihao,China,2024,Paris,Summer
SKATEBOARDING,WOMEN’S 10M AIR RIFLE,Gold,Yuto Horigome,Japan,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BREASTSTROKE,Gold,Tatjana Smith,South Africa,2024,Paris,Summer
SWIMMING,WOMEN’S 200M FREESTYLE,Gold,Mollie O’Callaghan,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 400M INDIVIDUAL MEDLEY,Gold,Summer McIntosh,Canada,2024,Paris,Summer
SWIMMING,MEN’S 100M BACKSTROKE,Gold,Thomas Ceccon,Italy,2024,Paris,Summer
SWIMMING,MEN’S 200M FREESTYLE,Gold,David Popovici,Romania,2024,Paris,Summer
ARCHERY,WOMEN’S TEAM,Gold,South Korea,South Korea,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK SINGLE,Gold,Jessica Fox,Australia,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,WOMEN’S CROSS-COUNTRY,Gold,Pauline Ferrand-Prevot,France,2024,Paris,Summer
FENCING,WOMEN’S FOIL INDIVIDUAL,Gold,Lee Kiefer,United States,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Gold,Diyora Keldiyorova,Uzbekistan,2024,Paris,Summer
JUDO,MEN’S 66KG,Gold,Hifumi Abe,Japan,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR PISTOL,Gold,Xie Yu,China,2024,Paris,Summer
SWIMMING,MEN’S 400M INDIVIDUAL MEDLEY,Gold,Léon Marchand,France,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BUTTERFLY,Gold,Torri Huske,United States,2024,Paris,Summer
SHOOTING,WOMEN’S 10M AIR PISTOL,Gold,Oh Ye-jin,South Korea,2024,Paris,Summer
SKATEBOARDING,WOMEN’S STREET,Gold,Coco Yoshizawa,Japan,2024,Paris,Summer
CYCLING,MEN’S INDIVIDUAL TIME TRIAL,Gold,Remco Evenepoel,Belgium,2024,Paris,Summer
CYCLING,WOMEN’S INDIVIDUAL TIME TRIAL,Gold,Grace Brown,Australia,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Gold,Chang Yani and Chen Yiwen,China,2024,Paris,Summer
FENCING,WOMEN’S EPEE INDIVIDUAL,Gold,Vivian Kong,Hong Kong,2024,Paris,Summer
FENCING,MEN’S SABER INDIVIDUAL,Gold,Sanguk Oh,South Korea,2024,Paris,Summer
JUDO,WOMEN 48KG,Gold,Natsumi Tsunoda,Japan,2024,Paris,Summer
JUDO,MEN 60KG,Gold,Yeldos Smetov,Kazakhstan,2024,Paris,Summer
RUGBY SEVENS,MEN’S,Gold,France,France,2024,Paris,Summer
SHOOTING,10M AIR RIFLE MIXED TEAM,Gold,Huang Yuting and Sheng Lihao,China,2024,Paris,Summer
SWIMMING,MEN’S 400M FREESTYLE,Gold,Lukas Maertens,Germany,2024,Paris,Summer
SWIMMING,MEN’S 4X100M FREESTYLE RELAY,Gold,United States,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 400M FREESTYLE,Gold,Ariarne Titmus,Australia,2024,Paris,Summer
SWIMMING,WOMEN’S 4X100M FREESTYLE RELAY,Gold,Australia,Australia,2024,Paris,Summer
ATHLETICS,WOMEN’S MARATHON,Silver,Tigst Assefa,Ethiopia,2024,Paris,Summer
BASKETBALL,WOMEN’S,Silver,France,France,2024,Paris,Summer
CYCLING TRACK,MEN’S KEIRIN,Silver,Matthew Richardson,Australia,2024,Paris,Summer
CYCLING TRACK,WOMEN’S SPRING,Silver,Lea Friedrich,Germany,2024,Paris,Summer
CYCLING TRACK,WOMEN’S OMNIUM,Silver,Daria Pikulik,Poland,2024,Paris,Summer
HANDBALL,MEN’S,Silver,Germany,Germany,2024,Paris,Summer
MODERN PENTATHLON,WOMEN’S INDIVIDUAL,Silver,Elodie Clouvel,France,2024,Paris,Summer
VOLLEYBALL,WOMEN’S,Silver,United States,United States,2024,Paris,Summer
WATER POLO,MEN’S,Silver,Croatia,Croatia,2024,Paris,Summer
WEIGHTLIFTING,WOMEN’S +81KG,Silver,Park Hyejeong,South Korea,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 76KG,Silver,Kennedy Alexis Blades,United States,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 65KG,Silver,Rahman Amouzadkhalili,Iran,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 97KG,Silver,Givi Matcharashvili,Georgia,2024,Paris,Summer
ARTISTIC SWIMMING,DUET,Silver,Kate Shortman and Isabelle Thorpe),Great Britain,2024,Paris,Summer
BASKETBALL,MEN,Silver,France,France,2024,Paris,Summer
BEACH VOLLEYBALL,MEN,Silver,Nils Ehlers and Clemens Wickler,Germany,2024,Paris,Summer
BOXING,MEN’S 57KG,Silver,Munarbek Seiitbek Uulu,Kyrgyzstan,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Silver,Julia Szeremeta,Poland,2024,Paris,Summer
BOXING,MEN’S +92KG,Silver,Ayoub Ghadfa,Spain,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Silver,Atheyna Bylon,Panama,2024,Paris,Summer
BREAKING,B-BOYS,Silver,Dany Dann (Danis Civil),France,2024,Paris,Summer
CANOE SPRINT,MEN’S 1000M SINGLE KAYAK,Silver,Adam Varga,Hungary,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 500M SINGLE KAYAK,Silver,Tamara Csipes,Hungary,2024,Paris,Summer
CANOE SPRINT,WOMEN’S 200M SINGLE KAYAK,Silver,Nevin Harrison,United States,2024,Paris,Summer
